63101000	apple	apple, raw
63105010	avocado	avocado, raw
22600100	bacon	bacon, ns as to type of meat, cooked
22600200	bacon	pork bacon, ns as to fresh/smoked/cured, cooked
51180010	bagel	bagel
63107010	banana	banana, raw
41104010	beans	pinto, calico/red/mex bean, dry, cooked, fat added
41104020	beans	pinto, calico/red/mex bean, dry, cooked, no fat
21000100	beef	beef, ns as to cut, cooked, ns as to fat
93101000	beer	beer (include ale)
93102000	beer	beer, lite
52102040	biscuit	biscuit, bak powder or buttermilk, from refrg dough
52103000	biscuit	biscuit, baking powder/buttermilk type, commercially baked
25220410	bologna	bologna, nfs
51107010	bread	bread, french or vienna
51121010	bread	bread, garlic
51109010	bread	bread, italian, grecian, armenian
51601020	bread	bread, multigrain
51301010	bread	bread, wheat or cracked wheat
51301020	bread	bread, wheat or cracked wheat, toasted
51101000	bread	bread, white
51101010	bread	bread, white, toasted
51300110	bread	bread, whole wheat, ns as to 100%
51300120	bread	bread, whole wheat, ns as to 100%, toasted
72201211	broccoli	broccoli, cooked, from fresh, no fat added
72201100	broccoli	broccoli, raw
53204010	brownie	cookie, brownie, w/o icing
81100500	butter	butter, nfs
81101000	butter	butter, stick, salted
81101010	butter	butter, whipped, tub, salted
75105000	cabbage	cabbage, red, raw
53108200	cake	cake, cupcake, chocolate, w/ icing or filling
53120260	cake	cake, white, w/ icing, homemade
53105260	cake	cake,choc,devil's food/fudge,w/icing, homemade
63109010	cantaloupe	cantaloupe (muskmelon), raw (include melon, nfs)
73101010	carrot	carrots, raw
75109000	celery	celery, raw (include celery, nfs)
57123000	cereal	cheerios
57135000	cereal	corn flakes, kellogg's
57241000	cereal	honey nut cheerios
14106200	cheese	cheese, monterey
14107010	cheese	cheese, mozzarella, nfs (include pizza cheese)
14107030	cheese	cheese, mozzarella, part skim (incl "lowfat")
14104010	cheese	cheese, natural, cheddar or american type
14010000	cheese	cheese, nfs
14108010	cheese	cheese, parmesan, dry, grated (include romano)
14410200	cheese	cheese, processed, american/cheddar  type
14108400	cheese	cheese, provolone
14109010	cheese	cheese, swiss
14010100	cheese	cheese,cheddar/american type,ns natural or processed
14133000	cheese	queso fresco (hispanic-style farmer cheese)
27510310	cheeseburger	cheeseburger w/ tomato & or catsup, on bun
27146000	chicken	chicken or turkey w/ bbq sauce, skin eaten
24122120	chicken	chicken, breast, roasted/broiled/baked, w/o skin
24127110	chicken	chicken, breast,coated,bkd/frd,ppd w/ skin, skin eaten
24100000	chicken	chicken, ns as to part, ns method, skin
24147210	chicken	chicken,drumstick,coated,bkd/frd,ppd w/skin, skin eat
24157210	chicken	chicken,thigh,coated,bkd/frd,ppd w/skin, skin eaten
24167110	chicken	chicken,wing,coated,bkd/frd,ppd w/skin, skin eaten
24198740	chicken nuggets	chicken nuggets
24198700	chicken strips	chicken patty/fillet/tenders, breaded, cooked
75121000	chili pepper	pepper, hot chili, raw (include jalapeno)
27111410	chili w/ beans	chili con carne w/ beans
54401020	chips	salty snacks, corn or cornmeal, corn chips, cheese
54401050	chips	salty snacks, corn or cornmeal, corn puffs, twists
54401080	chips	salty snacks, corn or cornmeal, tortilla chips
71201010	chips	white potato, chips
91705010	chocolate	milk chocolate candy, plain
75109550	cilantro	cilantro, raw
92101500	coffee	coffee, brewed, equal parts reg & decaffeinated
92111010	coffee	coffee, decaffeinated, made from ground
92114000	coffee	coffee, decaffeinated, made from powdered instant
92101000	coffee	coffee, made from ground, regular
92103000	coffee	coffee, made from powdered instant, regular
92100500	coffee	coffee, regular, ns ground/instant
92410310	coke	soft drink, cola-type
92410340	coke	soft drink, cola-type, decaffeinated
75141000	coleslaw	cabbage salad or coleslaw, w/ dressing
53241500	cookie	cookie, butter or sugar
53206020	cookie	cookie, choc chip, homemade or purchased at bakery
53209000	cookie	cookie, choc,choc sandwich/chocolate-coated/striped
53206000	cookie	cookie, chocolate chip
75109600	corn	corn, raw
57134000	corn flakes	corn flakes, nfs (include store brands)
52202060	cornbread	cornbread, homemade
52201000	cornbread	cornbread, prepared from mix
54301000	cracker	cracker, snack
54328100	cracker	cracker,sandwich-type,peanut butter filled
54304000	cracker	crackers, cheese
54325000	cracker	crackers, saltines
54338000	cracker	crackers, wheat
92530510	cranberry drink	cranberry juice drink or cocktail, w/ high vit c
12210410	cream	cream subst, light, powdered (incl coffee mate, cre
12210210	cream	cream substitute, flavored, liquid
12210250	cream	cream substitute, light, liquid
12210200	cream	cream substitute, liquid (include coffee whitner)
12210400	cream	cream substitute, powdered
12120100	cream	cream, half & half
14301010	cream cheese	cheese, cream
51166000	croissant	croissant
51185000	croutons	croutons
75111000	cucumber	cucumber, raw (include cucumber, nfs)
92410350	diet coke	soft drink, cola-type, decaffeinated, sugar-free
92410320	diet coke	soft drink, cola-type, sugar-free
53520110	doughnut	doughnut, cake type
53521110	doughnut	doughnut, raised / yeast
92410360	dr. pepper	soft drink, pepper-type (incl dr. pepper, mr. pibb)
92410370	dr. pepper	soft drink, pepper-type, sugar-free
83101000	dressing	blue or roquefort cheese dressing
83102000	dressing	caesar dressing
83112500	dressing	creamy dressing, w/sour cream/buttermilk & oil
83104000	dressing	french dresssing
83106000	dressing	italian dressing, w/ vinegar & oil
83110000	dressing	mayonnaise-type salad dressing
83100100	dressing	salad dressing, nfs, for salads
31103000	egg	eggs, whole, boiled
31105000	egg	eggs, whole, fried (incl scrambled, no milk added)
91707000	fondant	fondant candy
24124120	fried chicken	chicken, breast, fried, no coating, w/o skin
71401030	fries	white potato, french fries, from frozen, deep-fried
71401000	fries	white potato, french fries, ns as to from fresh/frz
71403000	fries	white potato, home fries
92511010	fruit drink	fruit flavored drink (formerly lemonade)
92530410	fruit drink	fruit flavored drink, with high vitamin c
92560000	fruit drink	fruit-flavored thirst quencher beverage
92541010	fruit juice	fruit flavored drink, made from powdered mix
92531030	fruit juice	fruit juice drink, w/ vit b1 & vit c
92530610	fruit juice	fruit juice drink, with high vitamin c
92560100	gatorade	gatorade thirst quencher sports drink
92410610	ginger ale	ginger ale
53542100	granola bar	granola bar w/ oats, sugar, raisins, coconut
63123000	grape	grapes, raw, ns as to type
28500040	gravy	gravy, beef/meat (incl gravy,nfs;brown gravy;swiss steak grv
75205023	green beans	beans, string, green, cooked, from canned, fat not added
75122100	green pepper	pepper, sweet, green, raw
21500100	ground beef	ground beef or patty, ns as to %lean
21501200	ground beef	ground beef, 80% - 84% lean, cooked
21501000	ground beef	ground beef, less than 80% lean, cooked
63409010	guacamole	guacamole, nfs
91800100	gum	chewing gum, nfs
91745010	gumdrops	gumdrops
22311020	ham	ham, smoked or cured, cooked, lean only
22311000	ham	ham, smoked or cured, cooked, ns as to fat
